name_genres,title,release_date,release_year,popularity,vote_count,vote_average,names_actors,name_director,budget,revenue
['Comedy'],I 2 soliti idioti,2012-12-20,2012,2.137039,45.0,4.1,"['Francesco Mandelli', 'Fabrizio Biggio', 'Gianmarco Tognazzi', 'Teo Teocoli', 'Rosita Celentano']",Enrico Lando,0.0,0.0
['Drama'],The Horseplayer,1990-01-01,1990,0.0,0.0,0.0,"['Brad Dourif', 'Sammi Davis', 'Michael Harris', 'Max Perlich', 'Vic Tayback']",Kurt Voss,0.0,0.0
['Drama'],The Subject Was Roses,1968-10-13,1968,0.407508,3.0,7.0,"['Patricia Neal', 'Jack Albertson', 'Martin Sheen', 'Don Saxon']",Ulu Grosbard,0.0,0.0
['Thriller'],Child's Play,1972-12-12,1972,0.549801,4.0,7.3,"['James Mason', 'Robert Preston', 'Beau Bridges', 'Ron Weyand', 'Charles White']",Sidney Lumet,0.0,0.0
"['Drama', 'Foreign']",Dreams of Dust,2008-01-30,2008,0.110208,2.0,8.5,"['Makena Diop', 'Rasmane Ouedraogo', 'Adama Ouédraogo', 'Fatou Tall-Salgues', 'Joseph B. Tapsoba']",Laurent Salgues,0.0,0.0
"['Comedy', 'Family']",Diary of a Wimpy Kid: The Long Haul,2017-05-19,2017,28.176992,48.0,6.1,"['Jason Ian Drucker', 'Owen Asztalos', 'Charlie Wright', 'Alicia Silverstone', 'Tom Everett Scott', 'Wyatt Walters', 'Dylan Walters', 'Joshua Hoover', 'Chris Coppola', 'Kimberli Lincoln', 'Mira Silverman', 'Mimi Gould', 'Beth Keener', 'Emma Wetzel', 'Elijah Marcano']",David Bowers,22000000.0,40120144.0
"['Mystery', 'Horror', 'Drama']",Voodoo Possession,2014-01-14,2014,1.635274,14.0,3.0,"['Danny Trejo', 'Marie-Françoise Theodore', 'Ryan Caltagirone', 'Kerry Knuppe', 'David Thomas Jenkins', 'Treva Etienne', 'Tomas Boykin', 'Dominic Conti', 'Darius Devontaye Green', 'Catherine Haena Kim', 'Nancy La Scala']",Walter Boholst,0.0,0.0
"['Animation', 'Family']","Rudolph, the Red-Nosed Reindeer",1964-12-06,1964,7.129761,131.0,6.9,"['Burl Ives', 'Billie Mae Richards', 'Larry D. Mann', 'Stan Francis', 'Paul Kligman', 'Janis Orenstein', 'Alfie Scopp', 'Carl Banas', 'Peg Dixon', 'Paul Soles', 'Corinne Conley']",Larry Roemer,0.0,0.0
"['Drama', 'Comedy', 'Documentary', 'Romance', 'History']",Wanderlust,2006-07-12,2006,0.195999,1.0,6.0,"['Allison Anders', 'Jeanine Basinger', 'Robert Benton', 'Karen Black', 'Peter Bogdanovich', 'Jeff Brouws', 'William S. Burroughs', 'Alfonso Cuarón', 'Kat Dennings', 'Chris Eyre', 'Monte Hellman', 'Dennis Hopper', 'Callie Khouri']",Shari Springer Berman,0.0,0.0
"['Action', 'Comedy', 'Romance', 'Thriller']",The Marrying Man,1991-04-05,1991,2.70816,17.0,5.0,"['Kim Basinger', 'Alec Baldwin', 'Robert Loggia', 'Elisabeth Shue', 'Armand Assante', 'Rebecca Staab']",Jerry Rees,26000000.0,12454768.0
"['Drama', 'Comedy', 'Animation']",It's Such a Beautiful Day,2011-11-17,2011,0.576007,15.0,8.6,['Don Hertzfeldt'],Don Hertzfeldt,0.0,0.0
[],Idlers of the Fertile Valley,1978-10-01,1978,0.000603,2.0,8.0,"['Olga Karlatos', 'George Dialegmenos', 'Dimitris Poulikakos', 'Nikitas Tsakiroglou', 'Vasilis Diamantopoulos']",Nikos Panayotopoulos,0.0,0.0
"['Drama', 'Music', 'Romance']",The Helen Morgan Story,1957-10-05,1957,0.572061,0.0,0.0,"['Ann Blyth', 'Paul Newman', 'Richard Carlson', 'Gene Evans', 'Alan King', 'Cara Williams', 'Virginia Vincent', 'Edward Platt', 'Bess Flowers', 'Walter Woolf King', 'Juanita Moore', 'Herb Vigran', 'Dorothy Green', 'Warren Douglas', 'Iris Adrian', 'Rudy Vallee', 'Walter Winchell', 'Eve Whitney']",Michael Curtiz,0.0,0.0
['Comedy'],Who Do I Gotta Kill?,1994-07-07,1994,0.444714,3.0,3.7,"['John Costelloe', 'James Lorinz', 'Sandra Bullock', 'Tony Darrow', 'Vincent Pastore', 'Stephen Lee', 'Mario Cantone']",Frank Rainone,0.0,0.0
"['Drama', 'Action', 'Thriller', 'Science Fiction']",Children of Men,2006-09-22,2006,14.114606,2120.0,7.4,"['Clive Owen', 'Michael Caine', 'Julianne Moore', 'Charlie Hunnam', 'Chiwetel Ejiofor', 'Clare-Hope Ashitey', 'Danny Huston', 'Peter Mullan', 'Juan Gabriel Yacuzzi', 'Mishal Husain', 'Rob Curling', 'Maria McErlane', 'Michael Haughey', 'Phaldut Sharma', 'Tehmina Sunny', 'Michael Klesic', 'Ilario Bisi-Pedro', 'Caroline Lena Olsson', ""Dhaffer L'Abidine"", 'Jon Chevalier', 'Rita Davies', 'Kim Fenton', 'Chris Gilbert', 'Phoebe Hawthorne', 'Atalanta White', 'Laurence Woodbridge', 'Miriam Karlin', 'Philippa Urquhart', 'Jody Halse', 'Martina Messing', 'Simon Poland', 'Barnaby Edwards', 'Ed Westwick', 'Valerie Griffiths', 'Billy Cook', 'Pam Ferris', 'Gary Hoptrough', 'Rob Inch', 'Jamie Kenna', 'Maurice Lee', 'Bruno Ouvrard', 'Denise Mack', 'Jacek Koman', 'Joy Richardson', 'Milenka James', 'Somi De Souza', 'Francisco Labbe', 'Thorston Manderlay', 'Georgia Goodman', 'Dorothy Grumbar', 'Barry Martin', 'Keith Dunphy', 'Raymond Trickitt', 'Nabil Shaban', 'Goran Kostić', 'Oana Pellea', 'Faruk Pruti', 'Yolanda Vazquez', 'Andrew Brooke', 'David Olawale Ayinde', 'Andy Callaghan', 'Ray Donn', 'Forbes KB', 'James Fiddy', 'P.D. James', 'Jamie Lengyel', 'Jeff Leslie', 'João Costa Menezes', 'Vidal Sancho', 'John Warman', 'Paul Warren', 'Yana Yanezic', 'Rebecca Howard']",Alfonso Cuarón,76000000.0,69959751.0
"['Action', 'Drama', 'History', 'War']",633 Squadron,1964-04-06,1964,1.497347,16.0,5.3,"['Cliff Robertson', 'George Chakiris', 'Maria Perschy', 'Harry Andrews', 'Donald Houston', 'Michael Goodliffe', 'John Meillon', 'John Bonney', 'Angus Lennie', 'Scott Finch', 'John Church', 'Barbara Archer', 'Sean Kelly', 'Julian Sherrier', 'Geoffrey Frederick', 'Johnny Briggs', 'Suzan Farmer']",Walter Grauman,0.0,0.0
[],Pine Flat,2006-01-01,2006,0.053465,0.0,0.0,[],Sharon Lockhart,0.0,0.0
"['Comedy', 'Romance']",Coffee Date,2006-11-10,2006,0.744276,7.0,4.6,"['Jonathan Bray', 'Wilson Cruz', 'Elaine Hendrix', 'Joanne Baron', 'Debbie Gibson', 'Jason Stuart', 'Judy Dixon', 'Lisa Ann Walter', 'Margot Boecker', 'Maggie Wagner', 'Ian Fisher', 'Sally Kirkland', 'Jonathan Silverman']",Stewart Wade,0.0,0.0
"['Drama', 'Family']",Anne Of Green Gables: The Continuing Story,2000-07-23,2000,2.761919,26.0,6.2,"['Megan Follows', 'Jonathan Crombie', 'Schuyler Grant', 'Greg Spottiswood', 'Janet-Laine Green', 'Patricia Hamilton', 'Shannon Lawson', 'Victoria Snow', 'Cameron Daddo']",Stefan Scaini,1100000.0,0.0
"['Crime', 'Documentary']",The Confessions of Thomas Quick,2015-08-14,2015,0.202118,5.0,6.6,"['Sture Bergwall', 'Mimmi Kandler', 'Oskar Thunberg', 'Patrik Dufwa']",Brian Hill,1250000.0,0.0
['Documentary'],Lambert & Stamp,2015-04-03,2015,0.475216,4.0,7.8,"['Roger Daltrey', 'Christopher Stamp', 'Pete Townshend', 'Terence Stamp']",James D. Cooper,0.0,0.0
['Comedy'],The Onion Movie,2008-05-31,2008,5.694713,50.0,6.1,"['Len Cariou', 'Steven Seagal', 'Larissa Laskin', 'Ken Takemoto', 'Don McManus', 'Michael Bolton', 'Ahmed Ahmed', 'Brendan Fletcher', 'Daniel Dae Kim', 'Meredith Baxter', 'Jed Rees', 'Rodney Dangerfield']",Tom Kuntz,0.0,0.0
['Horror'],APT.,2006-07-06,2006,1.709284,19.0,5.9,"['Ko So-Young', 'Kang Seong-jin', 'Jang Hee-jin', 'Park Ha-sun', 'Ha-eun Kim']",Ahn Byeong-ki,0.0,0.0
"['Drama', 'Comedy', 'Music']",Show Girl in Hollywood,1930-04-20,1930,0.960061,3.0,4.8,"['Alice White', 'Jack Mulhall', 'Blanche Sweet', 'Ford Sterling', 'John Miljan', 'Virginia Sale', 'Lee Shumway', 'Herman Bing', 'Noah Beery, Jr.', 'Noah Beery', 'Maurice Black', 'Billy Bletcher', 'James Conaty', 'Lew Harvey', 'Stuart Holmes', 'Al Jolson', 'Ruby Keeler', 'Natalie Moorhead', ""Spec O'Donnell"", 'Walter Pidgeon', 'Cliff Saum', 'Syd Saylor', 'Rolfe Sedan', 'Jane Winton', 'Loretta Young']",Mervyn LeRoy,0.0,0.0
"['Comedy', 'Romance']",Polar Flight,2013-12-12,2013,0.036523,0.0,0.0,"['Egor Beroev', 'Dmitriy Nagiev', 'Юлия Снигирь', 'Anna Semenovich', 'Tatyana Orlova', 'Mikhail Bogdasarov', 'Semyon Furman', 'Ekaterina Kopanova', 'Mikhail Tarabukin']",Sergey Chekalov,0.0,0.0
"['Horror', 'Thriller']",Paranormal Activity: The Marked Ones,2014-01-01,2014,8.898523,455.0,5.2,"['Andrew Jacobs', 'Richard Cabral', 'Carlos Pratts', 'Eddie J. Fernandez', 'Jorge Diaz', 'David Fernandez Jr.', 'Molly Ephraim', 'Katie Featherston', 'Crystal Santos', 'Catherine Toribio']",Christopher B. Landon,5000000.0,86362372.0
"['Romance', 'Drama', 'Comedy']",Gemma Bovery,2014-09-10,2014,5.105914,86.0,6.2,"['Gemma Arterton', 'Jason Flemyng', 'Fabrice Luchini', 'Elsa Zylberstein', 'Isabelle Candelier', 'Niels Schneider', 'Mel Raido', 'Pip Torrens', 'Kacey Mottet Klein', 'Edith Scob', 'Philippe Uchan', 'Pascale Arbillot', 'Marie-Bénédicte Roy', 'Christian Sinniger', 'Pierre Alloggia', 'Patrice Le Mehauté', 'Marianne Viville', 'Jean-Yves Freyburger']",Anne Fontaine,9700000.0,154701.0
"['Animation', 'Family']",The Secret Life of Pets,2016-06-18,2016,11.01395,3536.0,5.9,"['Louis C.K.', 'Eric Stonestreet', 'Kevin Hart', 'Jenny Slate', 'Lake Bell', 'Bobby Moynihan', 'Albert Brooks', 'Ellie Kemper', 'Hannibal Buress', 'Dana Carvey', 'Steve Coogan', 'Tara Strong', 'Chris Renaud', 'Michael Beattie', 'Sandra Echeverría', 'Jaime Camil', 'Kiely Renaud', 'Bob Bergen', 'Jason Marsden', 'Jim Cummings', 'Mona Marshall', 'Brian T. Delaney', 'Laraine Newman', 'Bill Farmer', 'Jan Rabson', 'Jess Harnell', 'Ken Schretzmann', 'John Kassir', 'Danny Mann', 'Jim Ward', 'Tyler Werrin']",Chris Renaud,75000000.0,875457937.0
['Documentary'],Enchanted Kingdom,2014-03-25,2014,1.145184,13.0,5.1,"['Idris Elba', 'Hayley Joanne Bacon', 'India Dale-Hill']",Patrick Morris,18.0,0.0
['Horror'],Sweet Home,2015-05-08,2015,2.421888,34.0,4.7,"['Ingrid García Jonsson', 'Bruno Sevilla', 'José María Blanco', 'Eduardo Lloveras', 'Luka Peroš', 'Oriol Tarrida Homedes', 'Miguel Ángel Alarcón', 'Leticia Dolera', 'Mariona Perrier']",Rafa Martínez,0.0,0.0
"['Crime', 'Documentary']",The Promise,2016-10-27,2016,1.340429,3.0,4.5,"['Imogen Poots', 'Daniel Brühl', 'Jens Söring', 'Gail Ball', 'Steven Rosenfield', 'Tom Elliott', 'Ricky Gardner', 'Gail Marshall', 'Chuck Reid', 'Carlos Santos', 'Ed Sulzbach', 'William Sweeney', 'Dave Watson', 'Rich Zorn']",Marcus Vetter,300000.0,0.0
"['Comedy', 'Drama', 'Romance']",Sex and the City,2008-05-12,2008,9.170332,525.0,6.0,"['Sarah Jessica Parker', 'Kim Cattrall', 'Cynthia Nixon', 'Kristin Davis', 'Chris Noth', 'Willie Garson', 'David Eigenberg', 'Evan Handler', 'Jennifer Hudson', 'Jason Lewis', 'Mario Cantone', 'Julie Halston', 'Lynn Cohen', 'Anne Meara', 'Candice Bergen', ""Lil' Kim"", 'Alexandra Fong', 'Joseph Pupo', 'Gilles Marini', 'Kerry Bishé', 'Bridget Regan', 'Amanda Setton', 'Rick Aiello', 'Annaleigh Ashford', 'Gilbert Cruz']",Michael Patrick King,65000000.0,415252786.0
"['Comedy', 'Science Fiction']",Young Einstein,1988-12-15,1988,2.562888,46.0,4.5,"['Yahoo Serious', 'Odile Le Clezio', 'Peewee Wilson', 'Su Cruickshank', 'John Howard', 'Christian Manon']",Yahoo Serious,0.0,0.0
"['Comedy', 'Drama']",Roma,1972-03-15,1972,2.46757,45.0,6.6,"['Peter Gonzales Falcon', 'Fiona Florence', 'Pia De Doses', 'Marne Maitland', 'Renato Giovannoli', 'Elisa Mainardi', 'Norma Giacchero', 'Stefano Mayore', 'Galliano Sbarra', 'Anna Magnani', 'Ginette Marcelle Bron', 'Gore Vidal']",Federico Fellini,0.0,0.0
"['Action', 'Thriller', 'Crime']",The Mechanic,2011-01-13,2011,9.832342,1066.0,6.3,"['Jason Statham', 'Ben Foster', 'Donald Sutherland', 'Mini Anden', 'Tony Goldwyn', 'Christa Campbell', 'Katarzyna Wolejnio', 'Jeff Chase', 'Eddie J. Fernandez', 'John McConnell', 'Lara Grice', 'Ardy Brent Carlson', 'James Logan', 'Joshua Bridgewater', 'Joel Davis', 'Mark Nutter', 'David Dahlgren']",Simon West,40000000.0,51070807.0
"['Horror', 'Action']",Dead End Road,2004-11-26,2004,0.237293,0.0,0.0,"['Jason Carter', 'Anita La Selva', 'Bill Vincent', 'Dee Wallace', 'Dennis Haskins', 'Jennifer Lantz', 'Erik F. Hill', 'Gunhild Giil', 'Spice Williams-Crosby', 'Mary Jo Cuppone', 'Edward Conna']",Jeff Burton,100000.0,0.0
"['Comedy', 'Romance']",The Owl and the Pussycat,1970-01-01,1970,1.589466,12.0,6.6,"['Barbra Streisand', 'George Segal', 'Robert Klein', 'Allen Garfield', 'Roz Kelly', 'Jacques Sandulescu', 'Marilyn Chambers']",Herbert Ross,0.0,0.0
['Comedy'],Splendor,1999-01-29,1999,3.508075,14.0,5.5,"['Kathleen Robertson', 'Matt Keeslar', 'Kelly Macdonald', 'Eric Mabius', 'Dan Gatto', 'Linda Kim', 'Audrey Ruttan', 'Nathan Bexton', 'Amy Stevens', 'Adam Carolla', 'Julie Millett', 'Jenica Bergere', 'Paige Dunn', 'Emile Hamaty', 'George Pennacchio', 'Wesley B', 'Johnathon Schaech']",Gregg Araki,0.0,45703.0
"['Drama', 'Family', 'Fantasy']",Arabian Nights,2000-04-30,2000,2.266456,21.0,6.9,"['Mili Avital', 'Dougray Scott', 'Jason Scott Lee', 'Vanessa Mae', 'Alan Bates', 'James Frain', 'Tchéky Karyo', 'John Leguizamo', 'Rufus Sewell', 'Jim Carter', 'Hugh Quarshie', 'Amira Casar', 'Andy Serkis']",Steve Barron,0.0,0.0
"['Drama', 'Comedy', 'Romance']",Prelude to a Kiss,1992-07-10,1992,4.582718,31.0,5.4,"['Meg Ryan', 'Alec Baldwin', 'Ned Beatty', 'Kathy Bates', 'Patty Duke', 'Richard Riehle', 'Stanley Tucci', 'Sydney Walker', 'Rocky Carroll', 'Debra Monk', 'Ray Gill', 'Ward Ohrman', 'Annie Golden', 'Frank Carillo', 'Sally Murphy', 'Salli Richardson-Whitfield', 'Victoria Haas', 'Fern Persons', 'JoBe Cerny', 'Josette DiCarlo', 'Peter Lloyd', 'Richard C.W. Schutz', 'Lucina Paquet', 'Glendon Gabbard', 'Rob Riley', 'Jane Alderman', 'Larry Nazimek']",Norman René,0.0,22697691.0
['Animation'],Printed Rainbow,2006-05-20,2006,0.109412,3.0,5.8,[],Gitanjali Rao,0.0,0.0
['Horror'],Ouija,2014-10-24,2014,13.288564,1006.0,4.9,"['Olivia Cooke', 'Ana Coto', 'Daren Kagasoff', 'Bianca A. Santos', 'Douglas Smith', 'Shelley Hennig', 'Afra Sophia Tully', 'Izzie  Galanti', 'Claire Beale', 'Sierra Huermann', 'Vivis Colombetti', 'Sunny May Allison', 'Lin Shaye', 'Claudia Katz Minnick', 'Robyn Lively', 'Matthew Settle', 'Morgan Peter Brown', 'Bill Watterson', 'Ken Blackwell']",Stiles White,5000000.0,103590271.0
['Comedy'],Better Off Dead...,1985-10-11,1985,8.994189,164.0,6.8,"['John Cusack', 'David Ogden Stiers', 'Kim Darby', 'Demian Slade', 'Scooter Stevens', 'Diane Franklin', 'Curtis Armstrong', 'Yuji Okumoto', 'Brian Imada', 'Laura Waterbury', 'Dan Schneider', 'Chuck Mitchell', 'Amanda Wyss', 'Aaron Dozier', 'Frank Burt Avalon', 'Vincent Schiavelli', 'Taylor Negron', 'E.G. Daily']",Savage Steve Holland,0.0,10297601.0
['Horror'],Bad Ben,2016-10-05,2016,0.373824,6.0,5.0,['Nigel Bach'],Nigel Bach,300.0,0.0
"['Documentary', 'Science Fiction']",The Alien Saga,2002-01-01,2002,0.145984,2.0,8.3,['John Hurt'],Brent Zacky,0.0,0.0
"['Documentary', 'Foreign']",Garbo: The Spy,2009-12-04,2009,0.234954,3.0,7.7,"['Rupert Allason', 'José Antonio Escoriza', 'Aline Griffith', 'Juan Kreisler']",Edmon Roch,0.0,0.0
['Animation'],Hunger,1974-10-01,1974,0.001655,6.0,6.2,[],Peter Foldes,0.0,0.0
"['Comedy', 'Music']",Second Fiddle to a Steel Guitar,1966-12-29,1966,0.037052,0.0,0.0,"['Pamela Hayes', 'Leo Gorcey', 'Huntz Hall', 'Carl Butler', 'Pearl Butler', 'Old Joe Clark', 'Little Jimmy Dickens', 'Arnold Stang']",Victor Duncan,0.0,0.0
"['Drama', 'Foreign', 'Romance']",Western,1997-05-09,1997,0.575924,3.0,5.3,"['Sergi López', 'Sacha Bourdo', 'Élisabeth Vitali']",Manuel Poirier,0.0,0.0
"['Crime', 'Drama']",Black River,1957-10-23,1957,0.524628,4.0,6.1,"['Fumio Watanabe', 'Ineko Arima', 'Tatsuya Nakadai', 'Asao Sano', 'Seiji Miyaguchi', 'Eijirô Tôno', 'Isuzu Yamada', ""Tomo'o Nagai"", 'Keiko Awaji']",Masaki Kobayashi,0.0,0.0
['Drama'],The Benefactor,2015-04-17,2015,9.013856,102.0,4.7,"['Dakota Fanning', 'Theo James', 'Richard Gere', 'Clarke Peters', 'Cheryl Hines', 'Dylan Baker', 'Tibor Feldman', 'Roy James Wilson', 'Brian Anthony Wilson', 'Dennisha Pratt', 'Lyssa Roberts', 'Matthew Daisher', 'Michael Daisher', 'Justin Goncalves', 'Ian Bonner', 'Derrick T. Lewis', 'Andrea Havens', 'Rory Ogden', 'Jeffrey Mowery', 'Michele Everwine', 'Marc Bicking', 'Maria Breyman', 'Erica Lynne Marszalek', 'Marko Caka', 'Jennifer Butler', 'Erica Cho', 'Lynn Golden', 'Kelly Buterbaugh', 'Evan Fenster', 'Jayson Williams', 'Lavonne Nichols', 'Yesenia Mercado', 'Megan Rose', 'Kimberly Villanova', 'Dennis Lauricella', 'Barbara Edwards', 'Mihir Pathak', 'Michelle Santiago', 'Giovanna Labozzetta', 'Amanda Wilson', 'Jaclyn McHugh', 'Nola Sanginiti', 'Deidre Washington', 'Kayla Grasser', 'Laura Hart', 'Gregory Brown', 'Shawn Gonzalez', 'Ryan Shank', 'Heather Soellner', 'Sean Zerbe']",Andrew Renzi,0.0,0.0
[],Fat Guy Goes Nutzoid,1986-09-05,1986,0.019235,0.0,0.0,"['Mark Alfred', 'Joan Allen']",John Golden,0.0,0.0
['Drama'],Naturally Native,1999-10-08,1999,0.101618,0.0,0.0,"['Valerie Red-Horse', 'Yvonne Russo', 'Irene Bedard', 'Kimberly Guerrero', 'Pato Hoffmann', 'Mark Abbott', 'Collin Bernsen', 'Mary Kay Place', 'Carol Potter', 'Floyd Red Crow Westerman', 'Max Gail', 'Jerry Rector', 'Akima Castaneda', 'Kevin Cloud Brechner', 'Lowell Raven', 'Courtney Red-Horse Mohl', 'Robert J. Thissen']",Jennifer Wynne Farmer,700000.0,10508.0
"['Thriller', 'Action']",The Marine 4: Moving Target,2015-04-10,2015,3.633327,49.0,5.8,"['Mike Mizanin', 'Melissa Roxburgh', 'Josh Blacker', 'Matthew MacCaull', 'Paul McGillion', 'Curtis Caravaggio', 'Danielle Moinet', 'Fraser Aitcheson', 'Primo Allon', 'Atlin Mitchell']",William Kaufman,1950000.0,0.0
"['Drama', 'Thriller']",Standoff,2016-01-04,2016,4.662079,96.0,6.0,"['Thomas Jane', 'Laurence Fishburne', 'Jim Watson', 'Ella Ballentine', 'Joanna Douglas', 'Ted Atherton', 'Laura de Carteret', 'John Tench', 'Darcy Roy', 'J.J. Dimichele', 'Craig Porritt']",Adam Alleca,8000000.0,0.0
['Comedy'],Going the Distance,2004-08-19,2004,2.554238,20.0,5.4,"['Christopher Jacot', 'Joanne Kelly', 'Shawn Roberts', 'Mayko Nguyen', 'Ryan Belleville', 'Katheryn Winnick', 'August Schellenberg', 'Crystal Lowe']",Mark Griffiths,0.0,0.0
['Drama'],A golpes,2005-11-04,2005,0.334828,1.0,5.0,"['Natalia Verbeke', 'Daniel Guzmán', 'María Vázquez', 'Marian Álvarez', 'Juana Acosta']",Juan Vicente Córdoba,0.0,0.0
['Documentary'],Actress,2014-11-07,2014,0.528734,6.0,6.5,['Brandy Burre'],Robert Greene,0.0,0.0
"['Drama', 'Thriller', 'Mystery']",The Name of the Rose,1986-09-24,1986,11.469751,739.0,7.2,"['Sean Connery', 'Christian Slater', 'Helmut Qualtinger', 'Elya Baskin', 'Michael Lonsdale', 'Volker Prechtel', 'Feodor Chaliapin Jr.', 'William Hickey', 'Michael Habeck', 'Urs Althaus', 'Valentina Vargas', 'Ron Perlman', 'Leopoldo Trieste', 'Lars Bodin-Jorgensen', 'Giordano Falzoni', 'Franco Valobra', 'Vernon Dobtcheff', ""Donald O'Brien"", 'Andrew Birkin', 'F. Murray Abraham', 'Lucien Bodard', 'Peter Berling', 'Pete Lancaster', 'Franco Adducci', 'Niko Brücher', 'Aristide Caporale', 'Fabio Carfora', 'Francesco Scali', 'Peter Clös', 'Mario Diano', 'Franco Pistoni', 'Maria Tedeschi', 'Valerio Isidori', 'Luigi Leoni', 'Armando Marra', 'Ludger Pistor', 'Franco Diogene']",Jean-Jacques Annaud,20000000.0,77200000.0
"['Crime', 'Thriller']",Kahaani 2,2016-12-01,2016,0.786816,12.0,6.2,"['Vidya Balan', 'Arjun Rampal', 'Jugal Hansraj', 'Tota Roy Chowdhury', 'Kharaj Mukherjee', 'Naisha Khanna', 'Tunisha Sharma']",Sujoy Ghosh,0.0,0.0
"['Adventure', 'Action', 'Comedy', 'Foreign']",The Legend II,1993-07-30,1993,2.649091,25.0,6.4,"['Jet Li', 'Michelle Reis', 'Josephine Siao', 'Adam Cheng', 'Amy Kwok', 'Corey Yuen Kwai', 'Peter Chan Lung', 'Ji Chun-Hua']",Corey Yuen Kwai,0.0,2967668.0
"['Drama', 'Mystery']",Pilot Error,2014-11-13,2014,0.023186,0.0,0.0,"['Kate Thomsen', 'Robert Cicchini', 'Larry Herron', 'Jennifer Jelsema', 'Richard Riehle']",Joe Anderson,0.0,0.0
